Semester Admitted,Department,Major,CSCI101_Pass_Sem,CSCI101_Tran_Sem,CSCI128_Pass_Sem,CSCI128_Tran_Sem,CSCI200_Pass_C_Sem,CSCI200_Tran_Sem,CSCI210_Pass_Sem,CSCI220_Pass_Sem,CSCI220_Tran_Sem,CSCI261_Pass_C_Sem,CSCI261_Tran_Sem,CSCI262_Pass_Sem,CSCI262_Tran_Sem,CSCI274_Pass_Sem,CSCI306_Pass_Sem,CSCI341_Pass_Sem,CSCI358_Pass_Sem,CSCI370_Pass_Sem,CSCI400_Pass_Sem,CSCI406_Pass_Sem,CSCI442_Pass_Sem
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2019,,Fall 2019,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Fall 2017,,,,,,,,,Fall 2017,,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,Fall 2017,,,,,,,,,Fall 2019,,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,Fall 2020,,,,,,,,,Fall 2020,,,,,,,,,,,
Fall 2017,Civil & Environmental Enginrng,Environmental Engineering,Fall 2017,,,,,,,,,Spring 2019,,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,Spring 2018,,,,,,,,,Spring 2018,,,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Spring 2018,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Undecided,Undecided,,,,,,,,,,Fall 2017,,Spring 2018,,,,,,,,,
Fall 2017,Petroleum,Petroleum Engineering,,,,,,,,,,Spring 2018,,Fall 2018,,,,,,,,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Spring 2018,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Electrical Enginrg & Comp Sci,Electrical Engineering,Fall 2017,,,,,,,,,Spring 2018,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2019,,Fall 2019,,,,,,,,,
Fall 2017,Physics,Engineering Physics,Spring 2018,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2018,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Civil & Environmental Enginrng,Civil Engineering,Fall 2017,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,Fall 2020,,,,,,,,,Summer 2020,,,,,,,,,,,
Fall 2017,Mining,Mining Engineering,Fall 2017,,,,,,,,,,,Spring 2018,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Spring 2018,,,,,,,,,Fall 2017,,,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2018,,Fall 2019,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Spring 2019,,,,,,,,,Fall 2017,,,,,,,,,,,
Fall 2017,Computer Science,CS-Research Honors Spclty,Fall 2017,,,,,,,,,Fall 2018,,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,Spring 2018,,,,,,,,,Spring 2019,,,,,,,,,,,
Fall 2017,Physics,Engineering Physics,,,,,,,,,,Fall 2018,,Fall 2020,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,,Fall 2017,,,,,,,,Fall 2017,,,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Antenn & Wirels Comm Spclty,,Fall 2017,,,,,,,,,Spring 2019,,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Engy & Pwr Electrncs Spclty,Fall 2017,,,,,,,,,Fall 2017,,,,,,,,,,,
Fall 2017,Metallurgical & Materials Eng,Metallurgical & Materials Eng,Spring 2011,,,,,,,,,Fall 2009,,Fall 2011,,,,,,,,,
Fall 2017,Physics,Mechanical Engineering,,,,,,,,,,Fall 2014,Fall 2013,Fall 2016,,,,,,,,,
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,,Fall 2017,,,,,,,,,Fall 2017,,,,Fall 2017,,,,,,
Fall 2017,Physics,Engineering Physics,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Summer 2021,,Fall 2021,,,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,,
Fall 2017,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,Summer 2019,,Spring 2020,,,,,Fall 2020,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,Spring 2018,,,,,,,,,Spring 2018,,Fall 2018,,,,,,,,,
Fall 2017,Chemical & Biological Engineer,Chemical Engineering,,,,,,,,,,Fall 2018,,Fall 2019,,,Spring 2021,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,Fall 2020,
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,Fall 2017,,,,,,,,,,Fall 2017,Spring 2018,,,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Spring 2018,,Summer 2020,,,,,,,,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Fall 2018,,Fall 2019,,,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Fall 2017,,Fall 2018,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2019,,Spring 2020,,,,,Fall 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Spring 2018,,,,,,,,,Fall 2018,,,,,,,Spring 2021,,,,
Fall 2017,Physics,Engineering Physics,,,,,,,,,,Spring 2018,,Fall 2019,,,Spring 2021,,,,,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Antenn & Wirels Comm Spclty,Fall 2017,,,,,,,,,Spring 2018,,,,Spring 2019,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,,
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Fall 2018,,,,,,,,,Fall 2018,,Summer 2020,,,,,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,Spring 2018,,,,,,,,,Fall 2018,,Fall 2019,,,,,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Fall 2017,,Fall 2018,,,,,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2017,,Spring 2018,,,,Spring 2019,,,,,Fall 2019
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,,Summer One 2018,Fall 2018,,,Spring 2019,,Fall 2019,,,,
Fall 2017,Electrical Engineering,EE-Info Sys & Science Spclty,Spring 2018,,,,,,,,,Spring 2018,,Fall 2018,,,,Spring 2020,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,,,,,,,,,,Spring 2018,,Fall 2018,,,Fall 2019,,Fall 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2018,,Spring 2019,,,,Fall 2019,,,,,Fall 2020
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,,,,,,,Fall 2019,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,,,Spring 2021,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2019,,,,,Fall 2020,,Spring 2020,,,Spring 2021,
Fall 2017,Undecided,Undecided,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,,,Spring 2019,,,,,
Fall 2017,Applied Math & Statistics,Statistics,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,,Spring 2019,,,,,,
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Fall 2017,,Fall 2018,,Spring 2019,,,,,,,
Fall 2017,Electrical Enginrg & Comp Sci,CS-Robotics Intel Sys Spclty,,,,,,,,,,,Fall 2017,Fall 2017,,Spring 2018,Spring 2018,,,,,,
Fall 2017,Physics,Engineering Physics,Fall 2017,,,,,,,,,Spring 2018,,Spring 2019,,,,,Fall 2019,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2019,,,,,Fall 2020,,Spring 2021,,,Spring 2021,
Fall 2017,Geophysics,Geophysical Engineering,,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,,,Spring 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2017,,Spring 2018,,Fall 2018,,,,,,,
Fall 2017,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,Summer 2019,,Fall 2019,,,Spring 2020,,Fall 2019,,,,
Fall 2017,Electrical Enginrg & Comp Sci,Electrical Engineering,Spring 2015,,,,,,,,,Spring 2015,,Spring 2016,,,Fall 2016,Fall 2017,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2018,,Summer 2019,,,Fall 2019,,Spring 2020,,,Spring 2020,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,,Fall 2019,,,,,Spring 2020,
Fall 2017,Electrical Engineering,Electrical Engineering,,,,,,,,,,Fall 2017,,Spring 2018,,Fall 2020,,Fall 2018,,,,,Spring 2021
Fall 2017,Electrical Engineering,Electrical Engineering,Spring 2018,,,,,,,,,Spring 2018,,Spring 2019,,Fall 2019,,Fall 2019,,,,,
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Spring 2021,,,,,,,,,Spring 2018,,Spring 2020,,Fall 2020,,,,,,,Spring 2021
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Spring 2019,,Summer 2019,,,Spring 2020,,Fall 2020,,,Spring 2021,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2020,,Fall 2019,,,,,
Fall 2017,Chemical & Biological Engineer,CHE-Process Engineering Spclty,,,,,,,,,,Fall 2018,,Fall 2019,,,Fall 2020,,Fall 2020,,,Spring 2021,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2019,,Spring 2020,,,Fall 2020,,Spring 2020,,,Spring 2021,
Fall 2017,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,,Fall 2017,Spring 2019,,Spring 2019,,Fall 2019,,,,,Spring 2020
Fall 2017,Mechanical Engineering,Mechanical Engineering,Fall 2018,,,,,,,,,Fall 2018,,Spring 2019,,,,Spring 2020,,,,,Fall 2020
Fall 2017,Electrical Engineering,Electrical Engineering,,Fall 2017,,,,,,,,Fall 2017,,Spring 2018,,Fall 2018,,Fall 2018,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Fall 2019,,Spring 2020,,,Fall 2020,,Fall 2020,,,Spring 2021,
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Fall 2018,,Fall 2020,,Spring 2019,,,Spring 2019,,,,
Fall 2017,Civil & Environmental Enginrng,Civil Engineering,,,,,,,,,,Fall 2018,,Spring 2019,,,Fall 2019,,Spring 2020,,,Fall 2020,
Fall 2017,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,Fall 2018,,Spring 2019,,,Fall 2019,,Spring 2019,,,Fall 2019,
Fall 2017,Chemical & Biological Engineer,CHE-Biological Enginrng Spclty,,,,,,,,,,Fall 2018,,Spring 2019,,,Fall 2019,,Fall 2019,,,Spring 2020,
Fall 2017,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,,Fall 2017,Fall 2018,,,Spring 2019,,Spring 2019,,,Fall 2019,
Fall 2017,Electrical Engineering,EE-Info Sys & Science Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,,Spring 2020,,,,,Spring 2021,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2018,,,,,,,,,Summer One 2018,,Summer Two 2018,,,Fall 2018,Spring 2020,,,,,
Fall 2017,Mechanical Engineering,Mechanical Engineering,,,,,,,,,,Summer Two 2015,Spring 2014,Spring 2016,,Fall 2016,Fall 2016,Spring 2016,,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2018,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2020,,Spring 2020,,,,,Spring 2021
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,,Spring 2021,,Fall 2019,,,Spring 2020,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2020,,Spring 2020,,,,,Spring 2021
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Fall 2017,,,,,,,,,Fall 2017,,Spring 2020,,Fall 2020,,Fall 2020,,,,,Spring 2021
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,,,,,,,,,,Spring 2018,Fall 2017,Fall 2018,,,Fall 2019,,Fall 2019,,,Spring 2020,
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,Fall 2017,,,,,,,,,Fall 2018,,Spring 2020,,Fall 2020,,Fall 2020,,,,,Spring 2021
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2020,,Fall 2020,,,,,Spring 2021
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2020,,Fall 2019,,,,,Spring 2021
Fall 2017,Electrical Engineering,EE-Intg Crcts & Elctrnc Spclty,,Fall 2017,,,,,,,,Spring 2018,,Fall 2018,,Fall 2018,,Fall 2019,,,,,Spring 2020
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2020,,Fall 2020,,,,,Spring 2021
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2020,,Fall 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2020,,Fall 2019,,,,,Fall 2020
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2019,Spring 2020,,,,,Fall 2020,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2020,,Fall 2019,,,,,Spring 2021
Fall 2017,Chemical & Biological Engineer,Chemical Engineering,Fall 2017,,,,,,,,,Spring 2018,,Spring 2019,,,Spring 2020,,Fall 2019,,,Fall 2020,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Spring 2018,,Summer 2019,,Fall 2020,,Spring 2020,,,,,Spring 2021
Fall 2017,Computer Science,CS-Business Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2022,Fall 2020,,,Summer 2020,,,
Fall 2017,Physics,Engineering Physics,Spring 2021,,,,,,,,,,Fall 2017,Fall 2017,,,Spring 2018,Spring 2018,,Summer One 2018,,,
Fall 2017,Computer Science,Computer Science,Fall 2018,,,,,,,,,Fall 2018,,Summer 2019,,Spring 2019,Fall 2019,Spring 2020,Spring 2019,,,,
Fall 2017,Computer Science,Computer Science,Fall 2018,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2019,Fall 2019,Fall 2019,Spring 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Fall 2017,,Spring 2020,,Spring 2020,Fall 2020,Fall 2020,,,,,Spring 2021
Fall 2017,Applied Math & Statistics,Computational & Applied Math,,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2019,Spring 2020,Spring 2020,Spring 2019,,,Fall 2020,
Fall 2017,Metallurgical & Materials Eng,Metallurgical & Materials Eng,,,,,,,,,,,Fall 2017,Spring 2018,,,Fall 2018,Spring 2020,Spring 2019,,Fall 2019,Fall 2019,
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Fall 2018,Spring 2019,,,,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2018,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2020,,Spring 2020,Fall 2019,,,Spring 2021,Spring 2021
Fall 2017,Computer Science,Computer Science,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,,Spring 2019,Fall 2018,Fall 2020,,,Spring 2020
Fall 2017,Computer Science,Computer Science,Spring 2019,,,,,,,,,Fall 2018,,Summer 2019,,Spring 2019,Fall 2019,Spring 2021,,Summer 2020,Fall 2020,,
Fall 2017,Applied Math & Statistics,Computational & Applied Math,Spring 2018,,,,,,,,,,Fall 2017,Fall 2018,,Spring 2019,Fall 2020,Spring 2019,Spring 2019,,,Fall 2020,
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2020,,,,,,,,,Fall 2018,,Spring 2019,,,,Fall 2020,,Summer 2020,Spring 2021,Fall 2020,Spring 2021
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2017,,,,,,,,,Fall 2017,,Spring 2018,,Fall 2018,,Fall 2018,,Fall 2019,Fall 2020,Fall 2019,
Fall 2017,Computer Science,Computer Science,,,,,,,,,,,,Summer 2020,,Fall 2020,Fall 2020,Fall 2020,,Summer 2021,Spring 2021,Fall 2020,Spring 2021
Fall 2017,Computer Science,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2018,,Fall 2018,,Fall 2019,,Fall 2019,Fall 2020
Fall 2017,Electrical Engineering,EE-Info Sys & Science Spclty,,Fall 2017,,,,,,,,,Fall 2017,Fall 2017,,Spring 2019,Spring 2018,Spring 2019,Fall 2018,,,,Fall 2019
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Spring 2019,Fall 2019,Summer 2019,Spring 2020,,
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Spring 2019,Spring 2019,Summer 2019,,Fall 2019,
Fall 2017,Computer Science,Computer Science,,,,,,,,,,,Fall 2017,Fall 2017,,Fall 2018,Fall 2019,Fall 2018,Fall 2018,Fall 2020,Spring 2021,Fall 2019,
Fall 2017,Electrical Enginrg & Comp Sci,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2018,,Fall 2018,Fall 2018,Fall 2020,Fall 2020,,Spring 2020
Fall 2017,Computer Science,Computer Science,Spring 2019,,,,,,,,,Spring 2019,,Summer 2019,,,Fall 2020,,Fall 2020,Summer 2021,Fall 2021,Spring 2021,Fall 2021
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Spring 2019,Fall 2018,Fall 2019,,Fall 2019,
Fall 2017,Computer Science,Data Science,Fall 2017,,,,,,,,,,Fall 2017,Spring 2018,,Spring 2018,Fall 2019,Spring 2019,Fall 2018,Fall 2020,,Spring 2020,
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Summer 2020,,Spring 2020,
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,,Summer One 2018,Fall 2018,,Fall 2019,Spring 2019,Spring 2019,Fall 2018,Fall 2019,,,Fall 2020
Fall 2017,Computer Science,CS-Business Spclty,Fall 2017,,,,,,,,,,Fall 2017,Spring 2019,,Fall 2019,Fall 2019,Fall 2019,,Summer 2020,Spring 2020,Fall 2021,
Fall 2017,Computer Science,CS-Computer Eng Spclty,,,,,,,,,,,Fall 2017,,Fall 2017,Fall 2018,Spring 2018,Fall 2017,Spring 2018,Summer One 2018,,Fall 2018,Fall 2018
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,,Fall 2017,,Fall 2017,,Spring 2018,,Spring 2018,Summer One 2018,Spring 2019,Fall 2018,Fall 2018
Fall 2017,Electrical Enginrg & Comp Sci,Computer Science,Spring 2013,,,,,,,,,Fall 2013,,Spring 2014,,,Fall 2014,Fall 2015,Fall 2014,Summer One 2015,Spring 2015,Spring 2015,Fall 2017
Fall 2017,Computer Science,Computer Science,Spring 2019,,,,,,,,,Fall 2017,,Spring 2018,,Fall 2019,Spring 2019,Fall 2018,Spring 2019,Summer 2020,Spring 2020,Fall 2019,
Fall 2017,Electrical Engineering,Electrical Engineering,Fall 2021,,,,,,,,,,Fall 2017,Fall 2018,,Spring 2019,,Spring 2019,Spring 2019,Summer 2020,Fall 2021,Fall 2019,Spring 2021
Fall 2017,Computer Science,Computer Science,Spring 2021,,,,,,,,,Spring 2019,,Fall 2019,,Fall 2019,,Fall 2019,Spring 2019,Fall 2020,Fall 2020,Spring 2020,Fall 2020
Fall 2017,Computer Science,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Fall 2019,Spring 2019,Fall 2020,,Spring 2020,Spring 2020
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Summer 2020,Fall 2020,,Spring 2020
Fall 2017,Computer Science,Computer Science,Spring 2019,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Fall 2020,,Fall 2019,Fall 2020
Fall 2017,Electrical Enginrg & Comp Sci,CS-Data Science Spclty,Spring 2018,,,,,,,,,Spring 2016,,Fall 2017,,Spring 2018,Spring 2018,Fall 2017,Spring 2016,Summer One 2018,Fall 2018,Spring 2018,
Fall 2017,Computer Science,CS-Business Spclty,,,,,,,,,,,Fall 2017,Fall 2018,,Spring 2019,Spring 2019,Fall 2019,Spring 2019,Fall 2019,Fall 2020,Fall 2019,Spring 2020
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2018,,,,,,,,,,Fall 2017,Fall 2017,,Spring 2019,Spring 2018,Fall 2018,Fall 2019,Summer 2019,Fall 2020,,Fall 2019
Fall 2017,Computer Science,CS-Data Science Spclty,Spring 2020,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2020,Fall 2019,Fall 2019,Fall 2019,Summer 2021,Fall 2020,,Fall 2021
Fall 2017,Computer Science,CS-Data Science Spclty,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2020,Fall 2019,Spring 2021,Fall 2019,Summer 2020,Spring 2021,Spring 2020,
Fall 2017,Computer Science,Computer Science,,Fall 2017,,,,,,,,Fall 2017,,Spring 2018,,Fall 2018,Spring 2019,Fall 2018,Spring 2019,Fall 2020,Fall 2019,,Fall 2020
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2019,Fall 2019,Fall 2019,Fall 2019,Summer 2020,Fall 2020,,Spring 2021
Fall 2017,Computer Science,Computer Science,Fall 2017,,,,,,,,,Fall 2017,,Spring 2018,,Fall 2018,Spring 2019,Fall 2018,Fall 2019,Fall 2019,Fall 2020,,Fall 2019
Fall 2017,Computer Science,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Spring 2019,Fall 2018,Summer 2020,,Spring 2020,Fall 2020
Fall 2017,Computer Science,Computer Science,Spring 2018,,,,,,,,,,Fall 2019,Fall 2019,,Fall 2019,Spring 2020,Fall 2019,Fall 2019,Summer 2020,Fall 2020,,Fall 2020
Fall 2017,Computer Science,Computer Science,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Fall 2019,Spring 2019,Summer 2020,Fall 2020,Fall 2019,
Fall 2017,Computer Science,CS-Research Honors Spclty,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Fall 2019,Fall 2019,Spring 2019,Spring 2019,Summer 2020,,Fall 2020,Spring 2020
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Fall 2018,Fall 2019,Summer 2019,Fall 2019,,Spring 2021
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2018,Fall 2019,Fall 2019,Fall 2019,Summer 2021,Fall 2020,,Spring 2021
Fall 2017,Computer Science,Computer Science,Spring 2018,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Summer 2020,Spring 2021,,Fall 2020
Fall 2017,Computer Science,CS-Robotics Intel Sys Spclty,Fall 2017,,,,,,,,,,Fall 2017,Spring 2018,,Spring 2019,Spring 2019,Fall 2018,Spring 2019,Fall 2019,,Spring 2020,Fall 2020
Fall 2017,Computer Science,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Spring 2018,,Summer Two 2018,,Fall 2018,Fall 2018,Fall 2018,Spring 2019,Summer 2019,,Fall 2019,Fall 2019
Fall 2017,Computer Science,Computer Science,Spring 2018,,,,,,,,,,Fall 2017,Fall 2018,,Fall 2018,Spring 2019,Spring 2019,Fall 2018,Fall 2019,Fall 2020,,Fall 2019
Fall 2017,Computer Science,CS-Business Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Fall 2018,Spring 2019,Fall 2018,Spring 2019,Fall 2019,,Spring 2020,Fall 2020
Fall 2017,Computer Science,CS-Data Science Spclty,Spring 2018,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Summer 2020,,Spring 2020,Fall 2020
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2017,,,,,,,,,,Fall 2017,Spring 2018,,Spring 2019,Spring 2019,Fall 2018,Spring 2019,Summer 2020,,Fall 2019,Fall 2019
Fall 2017,Computer Science,CS-Data Science Spclty,Fall 2017,,,,,,,,,Spring 2018,,Spring 2019,,Spring 2019,Spring 2019,Fall 2019,Fall 2019,Summer 2019,Fall 2021,,Fall 2021
Fall 2017,Electrical Enginrg & Comp Sci,CS-Data Science Spclty,,Fall 2017,,,,,,,,Fall 2017,,Spring 2018,,Spring 2018,Fall 2018,Spring 2018,Spring 2018,Summer 2019,Spring 2019,Spring 2019,
Fall 2017,Computer Science,Computer Science,Spring 2019,,,,,,,,,Fall 2018,,Spring 2019,,Spring 2019,Fall 2019,Spring 2019,Spring 2019,Fall 2020,Fall 2020,,Spring 2021
Fall 2017,Computer Science,CS-Computer Eng Spclty,Fall 2017,,,,,,,,,Spring 2018,,Fall 2018,,Spring 2019,Spring 2019,Fall 2019,Spring 2019,Fall 2020,,Spring 2020,Spring 2021
